,precision,recall,f1-score,support
0,0.7634408602150538,0.8160919540229885,0.7888888888888889,87.0
1,0.8333333333333334,0.7446808510638298,0.7865168539325842,47.0
2,0.4791666666666667,0.41818181818181815,0.44660194174757284,55.0
3,0.782258064516129,0.8220338983050848,0.8016528925619835,118.0
accuracy,0.7361563517915309,0.7361563517915309,0.7361563517915309,0.7361563517915309
macro avg,0.7145497311827956,0.7002471303934303,0.7059151442827574,307.0
weighted avg,0.730445080732724,0.7361563517915309,0.7321100116827209,307.0
