epoch,accuracy,loss,val_accuracy,val_loss
0,0.35830619931221,1.32965910434723,0.469055384397507,1.20507180690765
1,0.460369169712067,1.21450448036194,0.530944645404816,1.09346485137939
2,0.513934135437012,1.12577438354492,0.573289930820465,1.01541531085968
3,0.56062251329422,1.06618773937225,0.612377822399139,0.95424896478653
4,0.5779949426651,1.02260529994965,0.6188924908638,0.922365486621857
5,0.592833876609802,0.987144649028778,0.631921827793121,0.907035827636719
6,0.606587052345276,0.959057092666626,0.644951164722443,0.882956862449646
7,0.621064066886902,0.916248619556427,0.654723107814789,0.875448107719421
8,0.638798415660858,0.889974236488342,0.657980442047119,0.860290706157684
9,0.658704280853272,0.869397044181824,0.66449511051178,0.852385580539703
10,0.660513937473297,0.828007280826569,0.677524447441101,0.8445063829422
11,0.677524447441101,0.813087224960327,0.680781781673431,0.848994731903076
12,0.691639542579651,0.792509078979492,0.684039115905762,0.840304970741272
13,0.682229459285736,0.784699082374573,0.687296390533447,0.837092280387878
14,0.699963808059692,0.74581116437912,0.700325727462769,0.840662956237793
15,0.709373891353607,0.743048369884491,0.700325727462769,0.827777862548828
16,0.718783915042877,0.712097585201263,0.703583061695099,0.83486819267273
17,0.725660502910614,0.696473360061646,0.697068393230438,0.831782221794128
18,0.740861356258392,0.659253656864166,0.703583061695099,0.83245724439621
19,0.739775598049164,0.667050242424011,0.71661239862442,0.840131103992462
20,0.754614531993866,0.644665360450745,0.723127007484436,0.827630877494812
21,0.76076728105545,0.619408905506134,0.719869732856751,0.858500838279724
22,0.770901203155518,0.603412389755249,0.71661239862442,0.820183753967285
23,0.775606215000153,0.591033399105072,0.726384341716766,0.843724727630615
24,0.787911713123322,0.567693650722504,0.719869732856751,0.843349814414978
25,0.790083229541779,0.551909506320953,0.706840395927429,0.858996689319611
26,0.79225480556488,0.553490102291107,0.71661239862442,0.856158554553986
27,0.798407554626465,0.520599961280823,0.723127007484436,0.852668106555939
28,0.803474485874176,0.523168861865997,0.719869732856751,0.836571335792542
29,0.807455658912659,0.494755178689957,0.723127007484436,0.839927554130554
30,0.819037258625031,0.490829408168793,0.723127007484436,0.838434755802155
31,0.828085422515869,0.476018905639648,0.732899010181427,0.838484346866608
32,0.819761157035828,0.459401577711105,0.745928347110748,0.84916353225708
33,0.828809261322022,0.448829263448715,0.732899010181427,0.844403862953186
